143.42.116.90 - - [22/Feb/2023:09:45:23 +0000] "\x16\x03\x01\x00\xFE\x01\x00\x00\xFA\x03\x03\xEC\x8DI\xBBM\xF8\xFA\xEC\x07\x02\xB6\x8A:\xDEJ\x1C\xE6\x81l\xC0\xF0\x01\xA3\xB2\xE0\xBE\x1E\xF1\xCC\xA2\xD1\x9D \x16o\xDA\xF6!\x02\xC4-w\xC5\x01\x80\xE5\xC2\xA9X\xF65\xBA\xDD\x1Fk\xCB&,Ztt\xB1\xF5A\xF3\x00&\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x09\xC0\x13\xC0" 400 157 "-" "-" "-"
143.42.116.90 - - [22/Feb/2023:09:45:23 +0000] "GET / HTTP/1.1" 500 855 "-" "-" "-"
143.42.116.90 - - [22/Feb/2023:09:45:23 +0000] "HELP" 400 157 "-" "-" "-"
143.42.116.90 - - [22/Feb/2023:09:45:24 +0000] "GET /.git/config HTTP/1.1" 500 855 "-" "Go-http-client/1.1" "-"
143.42.116.90 - - [22/Feb/2023:09:45:24 +0000] "GET /.vscode/sftp.json HTTP/1.1" 500 855 "-" "Go-http-client/1.1" "-"
143.42.116.90 - - [22/Feb/2023:09:45:24 +0000] "GET /info.php HTTP/1.1" 500 855 "-" "Go-http-client/1.1" "-"
143.42.116.90 - - [22/Feb/2023:09:45:24 +0000] "GET /server-status HTTP/1.1" 500 855 "-" "Go-http-client/1.1" "-"
143.42.116.90 - - [22/Feb/2023:09:45:24 +0000] "GET / HTTP/1.1" 500 855 "-" "Mozilla/5.0 (Linux; Android 6.0; HTC One M9 Build/MRA81338) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.8566.98 Mobile Safari/537.3" "-"
143.42.116.90 - - [22/Feb/2023:09:45:24 +0000] "GET /?rest_route=/wp/v2/users/ HTTP/1.1" 500 855 "-" "Go-http-client/1.1" "-"
143.42.116.90 - - [22/Feb/2023:09:45:24 +0000] "GET /telescope/requests HTTP/1.1" 500 855 "-" "Go-http-client/1.1" "-"
143.42.116.90 - - [22/Feb/2023:09:45:24 +0000] "GET /.env HTTP/1.1" 500 855 "-" "Go-http-client/1.1" "-"
143.42.116.90 - - [22/Feb/2023:09:45:24 +0000] "GET /.DS_Store HTTP/1.1" 500 855 "-" "Go-http-client/1.1" "-"
143.42.116.90 - - [22/Feb/2023:09:45:24 +0000] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1" 500 855 "-" "Go-http-client/1.1" "-"
143.42.116.90 - - [22/Feb/2023:09:45:24 +0000] "GET /debug/default/view?panel=config HTTP/1.1" 500 855 "-" "Go-http-client/1.1" "-"
143.42.116.90 - - [22/Feb/2023:09:45:24 +0000] "GET /s/6313e2232323e25313e21353/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.1" 500 855 "-" "Go-http-client/1.1" "-"
143.42.116.90 - - [22/Feb/2023:09:45:24 +0000] "GET /about HTTP/1.1" 500 855 "-" "Go-http-client/1.1" "-"
143.42.116.90 - - [22/Feb/2023:09:45:24 +0000] "GET /config.json HTTP/1.1" 500 855 "-" "Go-http-client/1.1" "-"
143.42.116.90 - - [22/Feb/2023:09:45:24 +0000] "GET /login.action HTTP/1.1" 500 855 "-" "Go-http-client/1.1" "-"
143.42.116.90 - - [22/Feb/2023:09:45:24 +0000] "GET /api/search?folderIds=0 HTTP/1.1" 500 855 "-" "Go-http-client/1.1" "-"
143.42.116.90 - - [22/Feb/2023:09:45:24 +0000] "GET /v2/_catalog HTTP/1.1" 500 855 "-" "Go-http-client/1.1" "-"
65.154.226.171 - - [22/Feb/2023:09:45:44 +0000] "GET / HTTP/1.1" 500 855 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.71 Safari/537.36" "-"
65.154.226.171 - - [22/Feb/2023:09:45:45 +0000] "GET /errors/default/css/styles.css HTTP/1.1" 200 2222 "http://api.jode.it/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.71 Safari/537.36" "-"
23.178.112.209 - - [22/Feb/2023:09:46:01 +0000] "GET /.well-known/acme-challenge/GKCcBtMJ3ao2sVbu3UeVpc_rXyVQ5BbQavsBuXQCxmo HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "-"
